district,block,cluster,gp,pct_mean_first,pct_floor_first,n_students_first,pct_mean_last,pct_floor_last,n_students_last,change_pp,floor_change_pp,annualised_pp,years,instrument_caveat
Bengaluru Rural,B0040 devanahalli,C1747 yeliyuru,6198 mandibele,86.55,75.0,55,43.89,8.0,27,-42.66,-67.0,-21.33,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0068 humnabad,C0712 hudgi,2817 hudgi,66.34,30.0,101,24.37,0.0,71,-41.97,-30.0,-20.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0044 gangavathi,C0334 chikkajanthakal,3046 jangamarkalgudi,64.86,40.0,73,23.03,0.0,175,-41.83,-40.0,-20.92,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chitradurga,B0035 chitradurga,C0233 bheemasamudra,1121 beemasamudra,73.57,49.5,70,32.08,0.0,77,-41.49,-49.5,-20.74,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chitradurga,B0035 chitradurga,C0233 bheemasamudra,1390 bommenahalli,76.56,59.5,80,35.83,5.0,96,-40.73,-54.5,-20.36,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0081 koppal,C0032 alawandi,1377 bochanahalli,66.24,30.0,129,25.82,0.0,194,-40.42,-30.0,-20.21,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0019 bhalki,C0577 halhalli (k),1471 chalkapur,78.97,60.0,68,38.6,5.0,118,-40.37,-55.0,-20.18,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0041 dharwad,C1223 mummigatti,1592 chikkamalligwad,71.21,50.0,199,31.19,0.0,143,-40.02,-50.0,-20.01,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Tumakuru,B0137 turuvekere,C0881 kanathur,3351 kanathuru,88.06,69.5,80,48.1,15.0,71,-39.96,-54.5,-19.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,B0120 shahapur,C1706 wanadurga,6019 wanadurga,72.74,55.0,175,33.08,5.0,177,-39.66,-50.0,-19.83,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0081 koppal,C0018 agalakera,1023 bandiharlapur,72.89,50.0,102,33.32,5.0,137,-39.57,-45.0,-19.78,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0143 yelburga,C1738 yelaburga,5199 sanganahal,67.37,35.0,116,27.86,0.0,117,-39.51,-35.0,-19.75,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0001 afzalpur,C0504 gobbur (b),1310 bidanoor,78.7,65.0,92,39.25,5.0,87,-39.45,-60.0,-19.72,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Haveri,B0053 hanagal,C0132 balambeed,958 balambeed,80.92,60.0,169,41.78,10.0,138,-39.14,-50.0,-19.57,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mandya,B0093 malavally,C0700 hosa hally,2774 hosa hally,90.0,75.0,85,50.89,15.0,95,-39.11,-60.0,-19.56,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,B0141 yadgir,C1086 madhawar,4100 madhwar,68.1,27.0,58,29.0,0.0,50,-39.1,-27.0,-19.55,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0128 siruguppa,C1010 kudarhal,3842 kududhurahal,61.31,30.0,180,22.35,0.0,226,-38.96,-30.0,-19.48,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0110 raibag,C0710 hubbarwadi,4404 mekali,79.73,45.0,149,41.46,8.0,137,-38.27,-37.0,-19.14,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Raichur,B0126 sindhanur,C1412 roudakunda,5129 roudakunda,65.44,35.0,57,27.35,0.0,132,-38.09,-35.0,-19.04,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0110 raibag,C0710 hubbarwadi,2812 hubbarwadi,68.79,35.0,145,31.29,5.0,116,-37.5,-30.0,-18.75,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0066 hubli,C0914 katnur,3404 kantur,81.4,50.0,100,43.96,10.0,115,-37.44,-40.0,-18.72,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0044 gangavathi,C0064 anegundi,709 anegundi,61.44,30.0,104,24.23,0.0,143,-37.21,-30.0,-18.6,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ramanagara,B0112 ramanagara,C0835 kailancha,3982 kylancha,79.32,50.0,103,42.2,10.0,59,-37.12,-40.0,-18.56,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chikkaballapura,B0034 chintamani,C0179 batlahalli,5043 raguttahalli,87.17,74.5,30,50.19,3.0,27,-36.98,-71.5,-18.49,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0001 afzalpur,C0517 gour (b),2167 gour (b),63.69,40.0,61,26.86,0.0,70,-36.83,-40.0,-18.42,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0113 ramdurg,C1625 turanur,5836 turanur,92.15,80.0,151,55.35,16.5,144,-36.8,-63.5,-18.4,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0117 sandur,C0236 bhujanga nagar,4742 narasingapura,57.85,20.0,135,21.05,0.0,177,-36.8,-20.0,-18.4,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0020 bidar,C0034 aliamber,6108 yaranalli,64.54,30.0,65,28.14,0.0,59,-36.4,-30.0,-18.2,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0025 chadachan,C1321 nivaragi,213009168 umaraja,80.0,50.5,52,43.83,10.0,150,-36.17,-40.5,-18.08,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0161 muddebihal,C1833 balabatti,6069 yalagur,79.73,60.0,150,44.19,10.0,192,-35.54,-50.0,-17.77,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0086 kundagol,C1752 yerguppi,2673 hirenarti,76.9,55.0,150,41.93,10.0,153,-34.97,-45.0,-17.48,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mandya,B0109 pandavapura,C1130 manikyanahalli,2338 halebeedu,81.97,65.0,89,47.14,15.0,96,-34.83,-50.0,-17.42,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0086 kundagol,C0749 ingalagi,6195 ingalagi,73.17,50.0,150,38.42,5.0,174,-34.75,-45.0,-17.38,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kodagu,B0129 somavarpet,C1265 najrayapatana,4799 nelliahudikeri,73.47,57.0,85,39.03,12.0,155,-34.44,-45.0,-17.22,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0066 hubli,C1489 shirguppi,2954 ingalahalli,68.48,35.5,102,34.1,5.0,128,-34.38,-30.5,-17.19,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,B0003 alur,C0804 k hosakote,6632 mallapura,74.48,36.0,153,40.31,15.0,98,-34.17,-21.0,-17.08,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0020 bidar,C1263 nagora,661 amlapur,74.21,45.0,76,40.08,10.0,61,-34.13,-35.0,-17.06,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0055 harapanahalli,C0086 arasikere,780 arasikere,61.33,35.0,124,27.32,0.0,205,-34.01,-35.0,-17.0,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0065 hosapete,"C0003 8th ward, kampli",5079 ramasagara,71.79,55.0,165,37.79,5.0,174,-34.0,-50.0,-17.0,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0015 basavakalyan,C1457 sastapur,5255 sastapur,61.98,25.0,126,28.32,0.0,116,-33.66,-25.0,-16.83,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,B0116 sakaleshapura,C0197 belegodu,922 bage,84.06,70.0,85,50.48,15.0,73,-33.58,-55.0,-16.79,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0020 bidar,C1397 ranjolkheni,5440 sirsi (a),67.0,44.5,80,33.51,5.0,84,-33.49,-39.5,-16.75,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0117 sandur,C0152 bandri,2280 h.k. halli,70.22,45.0,114,37.04,20.0,238,-33.18,-25.0,-16.59,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0068 humnabad,C0205 bemalkheda,1207 bemalkheda,64.76,26.5,164,31.83,5.0,123,-32.93,-21.5,-16.46,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mandya,B0132 srirangapatna,C0376 darasaguppe,981 ballena hally,83.7,64.5,50,50.82,15.0,55,-32.88,-49.5,-16.44,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0106 navalgund,C0539 gummagol,6319 shirur,80.0,64.5,160,47.18,15.5,142,-32.82,-49.0,-16.41,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Raichur,B0039 devadurga,C0476 galag,2025 galag,59.18,20.0,165,26.54,3.5,178,-32.64,-16.5,-16.32,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,B0116 sakaleshapura,C0139 ballupete,3900 kuniganahalli,90.0,90.0,1,57.59,25.0,81,-32.41,-65.0,-16.2,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0036 chittapur,C0232 bheemanahalli,1938 dongaon,54.48,16.5,154,22.25,0.0,131,-32.23,-16.5,-16.12,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0084 kudligi,C0711 hudem,2816 hudem,63.03,27.5,66,30.81,0.0,74,-32.22,-27.5,-16.11,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chamarajanagara,B0054 hanur,C0607 hanur,4239 mangala,58.83,30.0,30,26.67,5.0,27,-32.16,-25.0,-16.08,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0041 dharwad,C0049 aminabhavi,6375 karadigudda,74.25,46.5,214,42.24,10.0,208,-32.01,-36.5,-16.0,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0051 hadagali,C1243 mylara,2908 hyarada,66.17,35.0,60,34.22,5.0,154,-31.95,-30.0,-15.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,B0011 bailhongal,C0194 belavadi,5854 udakeri,76.97,55.0,109,45.22,10.0,253,-31.75,-45.0,-15.88,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Haveri,B0149 haveri,C1987 devihosur,1815 devihosur,83.71,65.0,151,52.04,20.0,196,-31.67,-45.0,-15.84,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,B0066 hubli,C1404 raynal,1794 devaragudihal,62.62,35.0,126,30.96,5.0,260,-31.66,-30.0,-15.83,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Gadag,B0115 ron,C0507 gogeri,5077 ramapur,65.34,30.0,147,33.7,0.0,305,-31.64,-30.0,-15.82,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bengaluru Rural,B0040 devanahalli,C0300 channahalli,1246 bettakote,78.38,50.0,102,46.76,13.5,148,-31.62,-36.5,-15.81,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Haveri,B0058 hirekerur,C0342 chikkerur,1615 chikkerur,79.75,50.0,162,48.19,8.5,138,-31.56,-41.5,-15.78,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0048 gulbarga north,C1525 sonth,5480 sonth,75.53,42.5,66,44.12,8.5,68,-31.41,-34.0,-15.7,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,B0044 gangavathi,C0269 budagumpa,6323 budugumpa,62.29,32.0,155,30.92,0.0,190,-31.37,-32.0,-15.68,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Tumakuru,B0137 turuvekere,C0146 banasandra,1008 banasandra,82.25,55.0,111,50.91,10.0,77,-31.34,-45.0,-15.67,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0119 sedam,C0872 kanagadda,3330 kanagadda,57.94,20.0,107,26.61,0.0,127,-31.33,-20.0,-15.66,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0065 hosapete,C1556 t.c.kamalapura,1417 bukkasagara,52.9,15.0,81,21.63,0.0,276,-31.27,-15.0,-15.64,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,B0123 shorapur,C0891 kannelli,935 baichbal,70.82,40.0,177,39.81,5.0,241,-31.01,-35.0,-15.5,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,B0002 aland,C0796 jidaga,3511 kawalga,58.67,30.0,105,27.73,5.0,66,-30.94,-25.0,-15.47,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0139 vijayapura rural,C0022 aheri,557 aheri,85.74,70.0,148,54.82,15.0,307,-30.92,-55.0,-15.46,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0051 hadagali,C0680 holalu,2711 holalu,71.94,40.0,116,41.08,10.0,185,-30.86,-30.0,-15.43,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0052 hagaribommanahalli,C1196 morigeri,6581 sonna,72.45,40.0,137,41.73,8.0,197,-30.72,-32.0,-15.36,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
