district,pct_mean_first,pct_floor_first,n_students_first,pct_mean_last,pct_floor_last,n_students_last,change_pp,floor_change_pp,annualised_pp,years,instrument_caveat
Bidar,51.78,10.0,15289,43.9,5.0,14676,-7.88,-5.0,-3.94,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bagalkote,66.89,30.0,3749,59.37,15.0,34676,-7.52,-15.0,-3.76,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,67.64,30.0,19948,61.32,20.0,25046,-6.32,-10.0,-3.16,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kalaburagi,46.24,5.0,33654,40.93,5.0,29765,-5.31,0.0,-2.66,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chikkaballapura,53.56,10.0,10988,48.46,10.0,14138,-5.1,0.0,-2.55,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Raichur,49.41,10.0,26761,44.62,5.0,23131,-4.79,-5.0,-2.4,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,66.14,30.0,5441,61.43,20.0,20228,-4.71,-10.0,-2.36,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kolar,58.03,15.0,6725,53.45,15.0,12746,-4.58,0.0,-2.29,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chitradurga,45.76,5.0,29621,41.32,5.0,29415,-4.44,0.0,-2.22,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chamarajanagara,53.56,10.0,11675,49.67,10.0,11201,-3.89,0.0,-1.94,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Gadag,56.34,15.0,11839,52.91,10.0,20840,-3.43,-5.0,-1.72,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bengaluru Rural,66.13,25.0,9611,62.73,20.0,8821,-3.4,-5.0,-1.7,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Davanagere,51.72,10.0,7311,48.81,10.0,19779,-2.91,0.0,-1.46,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kodagu,56.99,15.0,5031,55.23,20.0,4283,-1.76,5.0,-0.88,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mysuru,53.92,10.0,2880,55.88,15.0,28743,1.96,5.0,0.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
