block,district,pct_mean,children_affected,gap_pp,norm_gap,norm_children,tractability,triage_score,priority_band,ptr_govt,pct_sch_library_govt,acad_inspections_per_school_govt,pct_teachers_graduate_plus_govt,mean_instruction_days_govt
B0089 lingasugur,Raichur,45.25,15003,9.03,0.371,0.682,0.498,22.0,1 - act now,42.2,91.79,0.6,68.5,233.55
B0117 sandur,Ballari,44.21,12569,10.07,0.413,0.571,0.464,21.8,1 - act now,44.75,96.45,1.04,78.88,220.56
B0065 hosapete,Vijayanagara,43.55,9803,10.73,0.44,0.444,0.5,21.1,1 - act now,,,,,
B0052 hagaribommanahalli,Vijayanagara,43.33,11100,10.95,0.45,0.504,0.351,20.6,1 - act now,31.29,100.0,0.83,70.18,234.09
B0073 jewargi,Kalaburagi,46.48,16840,7.8,0.32,0.766,0.5,20.3,1 - act now,,,,,
B0010 bagepally,Chikkaballapura,42.52,6830,11.76,0.483,0.308,0.491,19.8,1 - act now,21.68,100.0,0.51,68.25,204.27
B0126 sindhanur,Raichur,46.61,14600,7.67,0.315,0.664,0.5,18.5,1 - act now,38.03,84.38,0.66,78.6,230.14
B0141 yadgir,Yadgir,45.5,11201,8.78,0.36,0.508,0.5,18.4,1 - act now,,,,,
B0120 shahapur,Yadgir,46.78,14094,7.5,0.308,0.641,0.5,17.7,1 - act now,,,,,
B0088 kustagi,Koppal,48.19,14933,6.09,0.25,0.679,0.514,15.0,1 - act now,40.48,92.86,0.53,70.77,225.88
B0001 afzalpur,Kalaburagi,46.82,10194,7.46,0.306,0.462,0.5,14.9,1 - act now,,,,,
B0143 yelburga,Koppal,47.13,10327,7.15,0.294,0.468,0.437,13.8,1 - act now,38.25,94.06,1.37,68.71,229.55
B0059 hiriyur,Chitradurga,47.68,14139,6.6,0.271,0.643,0.327,13.8,1 - act now,18.3,99.38,0.71,63.28,235.14
B0048 gulbarga north,Kalaburagi,45.63,5279,8.65,0.355,0.237,0.5,13.4,1 - act now,,,,,
B0085 kuknoor,Koppal,46.11,6125,8.17,0.335,0.276,0.5,13.3,1 - act now,,,,,
B0043 gadag rural,Gadag,47.99,12123,6.29,0.258,0.55,0.408,12.9,1 - act now,25.99,100.0,0.83,61.95,226.42
B0051 hadagali,Vijayanagara,47.12,8727,7.16,0.294,0.395,0.341,12.0,1 - act now,26.0,99.35,1.12,67.48,231.43
B0167 gowribidanur,Chikkaballapura,45.08,3451,9.2,0.378,0.153,0.374,11.7,1 - act now,19.13,99.66,1.01,50.64,235.83
B0096 manvi,Raichur,49.01,12586,5.27,0.216,0.572,0.42,11.1,1 - act now,44.22,96.54,1.09,76.82,229.62
B0111 raichur,Raichur,49.59,13764,4.69,0.193,0.626,0.491,10.9,1 - act now,44.65,98.98,0.42,66.05,230.53
B0060 holalkere,Chitradurga,48.8,9651,5.48,0.225,0.437,0.485,10.6,1 - act now,17.15,100.0,0.62,51.78,215.81
B0081 koppal,Koppal,49.87,15439,4.41,0.181,0.702,0.419,10.4,1 - act now,34.66,94.88,0.58,72.31,232.97
B0068 humnabad,Bidar,49.03,9790,5.25,0.216,0.444,0.497,10.3,1 - act now,26.69,84.77,1.5,58.38,230.06
B0102 mundaragi,Gadag,47.98,8454,6.3,0.259,0.382,0.291,10.0,2 - act soon,28.7,100.0,1.19,74.0,235.35
B0125 sindagi,Vijayapura,49.9,12843,4.38,0.18,0.583,0.499,9.8,2 - act soon,31.58,94.44,0.52,56.97,231.23
B0123 shorapur,Yadgir,50.85,19558,3.43,0.141,0.891,0.5,9.8,2 - act soon,,,,,
B0099 mudhol,Bagalkote,49.05,8239,5.23,0.215,0.373,0.5,9.6,2 - act soon,,,,,
B0151 k g f,Kolar,46.08,3002,8.2,0.337,0.133,0.287,9.5,2 - act soon,18.29,100.0,1.91,55.32,236.67
B0047 gudibanda,Chikkaballapura,46.45,2550,7.83,0.321,0.112,0.319,9.0,2 - act soon,17.38,100.0,0.67,69.2,229.51
B0098 mudalgi,Belagavi,50.22,11571,4.06,0.167,0.525,0.5,8.7,2 - act soon,,,,,
B0037 davanagere(n),Davanagere,48.06,4453,6.22,0.255,0.199,0.367,8.4,2 - act soon,21.38,100.0,1.515,50.975,233.01999999999998
B0050 gundlupet,Chamarajanagara,50.02,9274,4.26,0.175,0.42,0.5,8.2,2 - act soon,,,,,
B0124 sidlaghatta,Chikkaballapura,49.04,7596,5.24,0.215,0.343,0.292,8.0,2 - act soon,17.94,98.81,1.46,66.61,231.04
B0063 hosadurga,Chitradurga,50.58,12987,3.7,0.152,0.59,0.418,7.9,2 - act soon,15.72,100.0,0.71,43.07,234.17
B0084 kudligi,Ballari,47.04,103,7.24,0.297,0.0,0.5,7.8,2 - act soon,,,,,
B0062 honnali,Davanagere,48.63,7822,5.65,0.232,0.353,0.165,7.8,2 - act soon,20.04,100.0,3.73,62.15,235.67
B0142 yelandur,Chamarajanagara,48.3,2577,5.98,0.245,0.113,0.306,6.8,2 - act soon,20.92,100.0,1.43,62.06,234.12
B0054 hanur,Chamarajanagara,49.66,5741,4.62,0.19,0.258,0.344,6.6,2 - act soon,20.64,99.44,0.99,54.72,239.35
B0100 mulbagal,Kolar,49.64,6811,4.64,0.19,0.307,0.25,6.5,2 - act soon,16.16,99.74,2.07,60.62,235.3
B0161 muddebihal,Vijayapura,50.98,10877,3.3,0.135,0.493,0.445,6.5,2 - act soon,27.26,97.76,0.48,56.47,233.07
B0155 krishnaraja pet,Mandya,50.47,6661,3.81,0.156,0.3,0.395,5.9,2 - act soon,15.72,100.0,0.41,50.46,234.6
B0140 virajpet,Kodagu,50.02,4984,4.26,0.175,0.223,0.274,5.5,2 - act soon,21.4,100.0,1.29,69.8,234.59
B0091 madhugiri,Tumakuru,51.69,9112,2.59,0.106,0.412,0.5,4.9,2 - act soon,,,,,
B0080 kollegala,Chamarajanagara,51.08,4914,3.2,0.131,0.22,0.5,4.8,2 - act soon,,,,,
B0094 malur,Kolar,51.18,6782,3.1,0.127,0.306,0.325,4.6,2 - act soon,15.79,99.69,1.69,52.31,232.94
B0030 chikkaballapur,Chikkaballapura,52.1,7277,2.18,0.089,0.328,0.322,3.3,2 - act soon,17.18,100.0,0.15,67.07,236.19
B0150 hunsur,Mysuru,51.95,5616,2.33,0.096,0.252,0.175,2.9,2 - act soon,17.54,100.0,3.65,61.38,232.89
B0146 channapatna,Ramanagara,52.24,6050,2.04,0.084,0.272,0.283,2.8,2 - act soon,19.89,100.0,1.08,64.54,238.8
B0148 h.d.kote,Mysuru,52.21,5867,2.07,0.085,0.264,0.266,2.8,2 - act soon,17.22,100.0,1.25,67.65,234.55
B0034 chintamani,Chikkaballapura,52.68,8631,1.6,0.066,0.39,0.401,2.8,2 - act soon,14.37,98.54,0.78,52.2,228.79
B0027 chamarajanagar,Chamarajanagara,52.74,7670,1.54,0.063,0.346,0.5,2.7,2 - act soon,,,,,
B0061 holenarasipura,Hassan,52.51,5928,1.77,0.073,0.267,0.367,2.6,2 - act soon,14.71,100.0,0.91,43.31,240.35
B0028 channagiri,Davanagere,52.85,8934,1.43,0.059,0.404,0.377,2.5,2 - act soon,18.3,100.0,1.57,51.58,227.25
B0104 nanjanagud,Mysuru,52.77,8896,1.51,0.062,0.403,0.207,2.3,2 - act soon,20.12,100.0,2.49,66.61,236.42
B0070 indi,Vijayapura,53.22,11400,1.06,0.044,0.517,0.45,2.2,2 - act soon,27.67,99.31,0.77,54.58,229.03
B0014 bangarapete,Kolar,52.64,2073,1.64,0.067,0.09,0.305,1.8,2 - act soon,17.09,99.21,1.81,55.71,234.13
B0148 h.d.kote,Mandya,52.73,108,1.55,0.064,0.0,0.5,1.7,2 - act soon,,,,,
B0053 hanagal,Haveri,53.67,10350,0.61,0.025,0.469,0.279,1.0,2 - act soon,27.34,99.18,1.29,77.16,233.4
B0004 arakalagudu,Hassan,53.6,7281,0.68,0.028,0.329,0.296,1.0,2 - act soon,14.87,100.0,1.47,52.47,239.13
B0064 hosakote,Bengaluru Rural,53.72,7887,0.56,0.023,0.356,0.418,0.9,2 - act soon,21.69,100.0,0.47,58.95,227.11
B0156 krishnarajanagara,Mysuru,53.92,3785,0.36,0.015,0.169,0.5,0.5,2 - act soon,,,,,
B0105 naragund,Gadag,54.06,4842,0.22,0.009,0.217,0.425,0.3,2 - act soon,28.09,100.0,0.56,60.75,229.22
B0106 navalgund,Dharwad,54.17,10303,0.11,0.005,0.467,0.415,0.2,2 - act soon,26.94,95.0,0.69,59.86,237.0
B0079 kolar,Kolar,54.22,8412,0.06,0.002,0.38,0.269,0.1,2 - act soon,14.6,100.0,2.37,50.0,237.02
B0093 malavally,Mandya,54.21,7720,0.07,0.003,0.349,0.377,0.1,2 - act soon,20.11,100.0,0.76,59.46,229.71
B0042 doddaballapura,Bengaluru Rural,55.31,7502,0.0,0.0,0.339,0.34,0.0,4 - monitor,16.63,100.0,0.87,56.21,235.2
B0017 belgaum rural,Belagavi,66.51,10733,0.0,0.0,0.487,0.39,0.0,4 - monitor,27.37,100.0,1.42,52.96,233.54
B0032 chikodi,Belagavi,74.64,7406,0.0,0.0,0.334,0.5,0.0,4 - monitor,,,,,
B0040 devanahalli,Bengaluru Rural,81.21,5936,0.0,0.0,0.267,0.357,0.0,4 - monitor,18.28,100.0,0.99,54.95,233.65
B0007 aurad,Bidar,56.44,5870,0.0,0.0,0.264,0.418,0.0,4 - monitor,19.24,84.38,2.86,51.94,230.47
B0006 athani,Belagavi,54.51,9858,0.0,0.0,0.447,0.5,0.0,4 - monitor,,,,,
B0069 hunagund,Bagalkote,58.7,10214,0.0,0.0,0.463,0.5,0.0,4 - monitor,,,,,
B0021 bilagi,Bagalkote,56.57,8362,0.0,0.0,0.378,0.5,0.0,4 - monitor,,,,,
B0008 badami,Bagalkote,61.54,14288,0.0,0.0,0.649,0.5,0.0,4 - monitor,,,,,
B0072 jamakhandi,Bagalkote,55.96,11470,0.0,0.0,0.52,0.5,0.0,4 - monitor,,,,,
B0009 bagalkot,Bagalkote,70.88,8571,0.0,0.0,0.388,0.5,0.0,4 - monitor,,,,,
B0045 gokak,Belagavi,66.66,5908,0.0,0.0,0.266,0.5,0.0,4 - monitor,,,,,
B0011 bailhongal,Belagavi,64.68,11947,0.0,0.0,0.542,0.335,0.0,4 - monitor,25.82,100.0,1.51,58.4,236.14
B0067 hukkeri,Belagavi,70.29,11227,0.0,0.0,0.509,0.5,0.0,4 - monitor,,,,,
B0075 kagwad,Belagavi,54.65,2216,0.0,0.0,0.097,0.5,0.0,4 - monitor,,,,,
B0078 khanapur,Belagavi,63.55,5431,0.0,0.0,0.244,0.331,0.0,4 - monitor,20.46,100.0,1.26,59.27,233.53
B0108 nippani,Belagavi,62.56,3645,0.0,0.0,0.162,0.5,0.0,4 - monitor,,,,,
B0110 raibag,Belagavi,56.31,7231,0.0,0.0,0.326,0.5,0.0,4 - monitor,,,,,
B0113 ramdurg,Belagavi,63.38,11485,0.0,0.0,0.521,0.448,0.0,4 - monitor,32.82,100.0,1.65,63.77,215.25
B0130 soundatti,Belagavi,69.8,12207,0.0,0.0,0.554,0.325,0.0,4 - monitor,32.01,100.0,1.68,64.13,236.5
B0153 kittur,Belagavi,63.57,4827,0.0,0.0,0.216,0.322,0.0,4 - monitor,27.06,100.0,1.46,57.21,241.34
B0107 nelamangala,Bengaluru Rural,60.41,6306,0.0,0.0,0.284,0.424,0.0,4 - monitor,16.05,100.0,0.88,44.11,230.71
B0129 somavarpet,Kodagu,59.34,3787,0.0,0.0,0.169,0.317,0.0,3 - plan,16.76,100.0,1.12,65.68,227.91
B0092 madikeri,Kodagu,55.02,4776,0.0,0.0,0.214,0.32,0.0,3 - plan,17.1,100.0,1.0,62.92,231.68
B0149 haveri,Haveri,55.76,8364,0.0,0.0,0.378,0.431,0.0,3 - plan,27.84,97.34,0.68,65.34,226.16
B0121 shiggoan,Haveri,64.82,5416,0.0,0.0,0.243,0.297,0.0,3 - plan,30.02,99.44,1.42,71.72,236.04
B0005 arasikere,Hassan,59.58,7841,0.0,0.0,0.354,0.374,0.0,4 - monitor,12.89,100.0,0.46,48.82,236.85
B0122 shirhatti,Gadag,56.02,11483,0.0,0.0,0.521,0.382,0.0,4 - monitor,27.87,100.0,1.46,57.96,230.36
B0115 ron,Gadag,56.01,14509,0.0,0.0,0.66,0.368,0.0,4 - monitor,30.32,100.0,0.84,66.6,233.39
B0029 channarayapatna,Hassan,68.29,6418,0.0,0.0,0.289,0.398,0.0,4 - monitor,12.45,100.0,0.93,42.61,233.05
B0018 belur,Hassan,59.29,4843,0.0,0.0,0.217,0.338,0.0,4 - monitor,13.41,100.0,0.74,57.64,232.59
B0116 sakaleshapura,Hassan,59.0,3578,0.0,0.0,0.159,0.304,0.0,3 - plan,16.15,100.0,0.65,68.48,231.99
B0057 hassan,Hassan,62.57,6449,0.0,0.0,0.291,0.349,0.0,3 - plan,14.18,100.0,0.78,55.14,233.17
B0023 byadagi,Haveri,60.09,5085,0.0,0.0,0.228,0.327,0.0,3 - plan,24.9,98.31,1.7,70.76,225.44
B0058 hirekerur,Haveri,58.68,8486,0.0,0.0,0.384,0.38,0.0,3 - plan,21.08,98.17,1.2,59.87,227.83
B0114 ranebennur,Haveri,61.78,9481,0.0,0.0,0.429,0.5,0.0,3 - plan,,,,,
B0118 savanur,Haveri,57.93,6809,0.0,0.0,0.307,0.337,0.0,3 - plan,31.2,100.0,0.98,74.87,230.48
B0003 alur,Hassan,64.81,2879,0.0,0.0,0.127,0.295,0.0,4 - monitor,12.87,100.0,1.09,59.63,234.51
B0163 narasimharajapura,Chikkamagaluru,62.38,1933,0.0,0.0,0.084,0.5,0.0,4 - monitor,,,,,
B0165 sringeri,Chikkamagaluru,61.86,835,0.0,0.0,0.034,0.5,0.0,4 - monitor,,,,,
B0166 tarikere,Chikkamagaluru,62.15,4237,0.0,0.0,0.189,0.5,0.0,4 - monitor,,,,,
B0145 biruru,Chikkamagaluru,63.19,3988,0.0,0.0,0.178,0.5,0.0,4 - monitor,,,,,
B0147 chikmagalur,Chikkamagaluru,56.23,6118,0.0,0.0,0.275,0.5,0.0,4 - monitor,,,,,
B0152 kadur,Chikkamagaluru,58.31,5777,0.0,0.0,0.26,0.5,0.0,4 - monitor,,,,,
B0154 koppa,Chikkamagaluru,70.51,2437,0.0,0.0,0.107,0.5,0.0,4 - monitor,,,,,
B0160 moodigere,Chikkamagaluru,54.81,3569,0.0,0.0,0.159,0.5,0.0,4 - monitor,,,,,
B0056 harihara,Davanagere,54.57,6417,0.0,0.0,0.289,0.312,0.0,4 - monitor,22.1,100.0,1.68,58.25,235.36
B0095 mangaluru south,Dakshina Kannada,72.92,1623,0.0,0.0,0.07,0.342,0.0,4 - monitor,28.52,100.0,1.23,62.41,236.49
B0038 davanagere(s),Davanagere,56.02,3422,0.0,0.0,0.152,0.367,0.0,4 - monitor,21.38,100.0,1.515,50.975,233.01999999999998
B0076 kalghatagi,Dharwad,56.5,13220,0.0,0.0,0.601,0.327,0.0,4 - monitor,29.22,96.09,1.03,75.82,235.06
B0066 hubli,Dharwad,65.22,11073,0.0,0.0,0.502,0.328,0.0,4 - monitor,27.67,98.44,0.71,67.33,241.16
B0041 dharwad,Dharwad,68.89,21943,0.0,0.0,1.0,0.312,0.0,4 - monitor,27.51,97.79,1.1,72.83,235.76
B0086 kundagol,Dharwad,64.73,10273,0.0,0.0,0.466,0.482,0.0,4 - monitor,27.59,95.37,0.72,73.39,211.36
B0074 k g f,Kolar,66.03,358,0.0,0.0,0.012,0.287,0.0,3 - plan,18.29,100.0,1.91,55.32,236.67
B0077 kanakapura,Ramanagara,57.12,8568,0.0,0.0,0.388,0.287,0.0,3 - plan,20.65,100.0,0.91,70.6,234.63
B0164 periya patna,Mysuru,64.47,5255,0.0,0.0,0.236,0.235,0.0,3 - plan,18.79,100.0,2.19,63.84,235.76
B0162 mysore rural,Mysuru,55.3,5223,0.0,0.0,0.234,0.302,0.0,3 - plan,19.27,100.0,1.55,58.77,235.24
B0112 ramanagara,Ramanagara,76.26,4460,0.0,0.0,0.199,0.481,0.0,3 - plan,20.9,100.0,0.68,48.54,222.53
B0159 mandya south,Mandya,55.77,2712,0.0,0.0,0.119,0.417,0.0,3 - plan,22.34,99.2,1.18,49.62,230.63
B0158 mandya north,Mandya,56.91,4277,0.0,0.0,0.191,0.326,0.0,3 - plan,16.87,100.0,1.05,59.0,233.57
B0109 pandavapura,Mandya,63.23,4874,0.0,0.0,0.218,0.332,0.0,3 - plan,17.8,100.0,0.54,64.02,233.78
B0103 nagamangala,Mandya,62.57,6082,0.0,0.0,0.274,0.3,0.0,3 - plan,14.63,100.0,0.87,62.11,235.18
B0090 maddur,Mandya,54.52,5901,0.0,0.0,0.265,0.424,0.0,3 - plan,18.92,100.0,0.99,64.42,212.79
B0132 srirangapatna,Mandya,57.24,4035,0.0,0.0,0.18,0.5,0.0,3 - plan,,,,,
B0131 srinivasapur,Kolar,54.28,6941,0.0,0.0,0.313,0.348,0.0,3 - plan,13.36,98.61,1.18,50.49,235.16
B0133 t.n.pura,Mysuru,59.33,6954,0.0,0.0,0.314,0.349,0.0,3 - plan,18.08,100.0,0.76,60.47,231.98
B0046 gubbi,Tumakuru,72.47,11721,0.0,0.0,0.532,0.395,0.0,3 - plan,15.56,99.74,0.33,48.28,237.71
B0031 chiknayakanhalli,Tumakuru,63.08,8784,0.0,0.0,0.397,0.412,0.0,3 - plan,16.12,100.0,0.48,43.45,237.7
B0157 magadi,Ramanagara,56.47,5868,0.0,0.0,0.264,0.47,0.0,3 - plan,14.19,100.0,0.44,41.98,227.0
B0101 mundagod,Uttara Kannada,60.28,466,0.0,0.0,0.017,0.5,0.0,3 - plan,,,,,
B0138 udupi,Udupi,62.65,405,0.0,0.0,0.014,0.4,0.0,3 - plan,29.81,100.0,1.34,64.0,224.17
B0024 byndoor,Udupi,85.1,560,0.0,0.0,0.021,0.303,0.0,3 - plan,21.62,100.0,0.64,75.13,231.07
B0022 brahmavara,Udupi,73.54,1850,0.0,0.0,0.08,0.5,0.0,3 - plan,,,,,
B0168 pavagada,Tumakuru,72.34,3857,0.0,0.0,0.172,0.5,0.0,3 - plan,,,,,
B0137 turuvekere,Tumakuru,72.29,6426,0.0,0.0,0.29,0.347,0.0,3 - plan,12.68,100.0,0.75,48.24,239.21
B0136 tumkur,Tumakuru,63.97,11261,0.0,0.0,0.511,0.392,0.0,3 - plan,19.04,100.0,0.66,46.57,239.43
B0135 tiptur,Tumakuru,66.06,6816,0.0,0.0,0.307,0.4,0.0,3 - plan,13.64,100.0,0.46,49.55,231.92
B0127 sira,Tumakuru,54.38,13283,0.0,0.0,0.603,0.5,0.0,3 - plan,,,,,
B0087 kunigal,Tumakuru,61.54,7076,0.0,0.0,0.319,0.337,0.0,3 - plan,14.5,99.72,1.21,48.49,238.17
B0082 koratagere,Tumakuru,59.13,5775,0.0,0.0,0.26,0.5,0.0,3 - plan,,,,,
B0144 yellapur,Uttara Kannada,83.43,335,0.0,0.0,0.011,0.5,0.0,3 - plan,,,,,
B0025 chadachan,Vijayapura,66.96,6301,0.0,0.0,0.284,0.402,0.0,3 - plan,28.65,99.5,1.26,52.72,235.1
B0016 basavan bagewadi,Vijayapura,63.2,11240,0.0,0.0,0.51,0.446,0.0,3 - plan,27.95,99.36,0.89,55.38,227.94
B0139 vijayapura rural,Vijayapura,61.69,16624,0.0,0.0,0.756,0.5,0.0,3 - plan,,,,,
B0134 talikoti,Vijayapura,76.02,298,0.0,0.0,0.009,0.5,0.0,3 - plan,,,,,
