event,when,academic_years_hit,geography_level,geography,direction_gr46_math,mechanism,status,source
Assembly election,10 May 2023,2022-23 tail,statewide,ALL,negative-small,teacher election duty at year end,VERIFIED,https://www.eci.gov.in/ae-karnataka-2023
Egg frequency halved briefly,20 Jun-15 Jul 2023,2023-24,statewide,ALL,negative-blip,nutrition dip at start of 2023-24,VERIFIED,https://www.logicallyfacts.com/en/fact-check/misleading-no-new-congress-government-in-karnataka-didn-t-just-add-eggs-to-midday-meals
Five guarantee schemes cash+mobility,Jun 2023-Jan 2024,2023-24|2024-25,statewide-BPL-graded,ALL,positive,large sustained household transfer; Shakti free bus for women,VERIFIED,https://www.deccanherald.com/amp/story/india%2Fkarnataka%2Fwatch-karnataka-government-launches-gruha-lakshmi-scheme-2666111
Drought declaration 223 taluks (196 severe),Sep-Nov 2023,2023-24,taluk,223 taluks across 31 districts; severe belt north+south interior; coastal spared,negative,crop failure to income collapse migration child absence,VERIFIED,https://english.varthabharati.in/karnataka/state-govt-declares-195-taluks-drought-affected-full-list-here
Cauvery bandhs,26+29 Sep 2023,2023-24,district,BENGALURU U NORTH|BENGALURU U SOUTH|MYSURU|MANDYA|RAMANAGARA,near-zero,1-2 lost days,VERIFIED,https://www.deccanherald.com/amp/story/india%2Fkarnataka%2Fbengaluru%2Fbengaluru-bandh-holiday-declared-for-schools-colleges-2700498
NEP U-turn SEP commission,Aug-Oct 2023,none,statewide,ALL,near-zero,no K-12 syllabus change inside window,VERIFIED,https://thesouthfirst.com/pti/karnataka-government-constitutes-committee-to-prepare-draft-of-state-education-policy/
KKRDB Akshara Aavishkara education year,AY 2023-24,2023-24|2024-25,district,BIDAR|KALBURGI|YADAGIRI|RAICHUR|KOPPAL|BALLARI|VIJAYANAGARA,positive,25pct of KKRDB grants to education; Akshara Mitra guest teachers,VERIFIED,https://cpikalaburgi.karnataka.gov.in/info-2/KKRDB+-+Akshara+Aavishkara-Programme+23-2024/en
Kalika Balavardhane remediation,2023-24 into 2024-25,2023-24|2024-25,statewide,ALL,positive,structured remediation classes 1-9 incl maths,VERIFIED-programme PLAUSIBLE-budget,https://dsert.karnataka.gov.in/info-2/Kalika+Balavardhane/en
KSEAB exams round 2 SC halt mid-exam then withdrawn,Oct 2023-Oct 2024,2023-24|2024-25,statewide,ALL,disruption-then-regime-flip,grade 5 sat papers amid stop-start chaos Mar 2024; no exams 2024-25,VERIFIED,https://www.barandbench.com/news/supreme-court-stays-board-exam-results-karnataka-classes-5-8-9-11
Summer MDM in drought taluks,11 Apr-28 May 2024,2024-25,taluk,same 223 drought taluks,positive-protective,vacation nutrition buffer offsets drought damage,VERIFIED,https://www.siasat.com/karnataka-govt-to-provide-mid-day-meal-during-summer-vacation-amid-drought-3006318/
Lok Sabha polls,Apr-May 2024,2023-24 tail,statewide,ALL,near-zero,mostly during vacation,VERIFIED,https://en.wikipedia.org/wiki/2024_Indian_general_election_in_Karnataka
Monsoon closures and Shirur landslide,Jul 2024,2024-25,taluk,DAKSHINA KANNADA|UTTARA KANNADA(Ankola|Sirsi|Siddapur|Joida)|UDUPI|BELAGAVI(Khanapur|Kittur),negative-small,3-6 lost days early in 2024-25 coastal-sharp,VERIFIED,https://www.deccanherald.com/india/karnataka/karnataka-to-witness-vigorous-rainfall-holiday-for-schools-colleges-in-uttara-kannada-district-3105718
Eggs 6 days/week APF MoU,live 25 Sep 2024,2024-25,statewide,ALL,positive,big nutrition upgrade mid 2024-25,VERIFIED,https://thesouthfirst.com/karnataka/karnataka-to-provide-six-eggs-a-week-in-midday-meals-for-government-school-children/
Bengaluru rain holidays,Oct 2024,2024-25,district,BENGALURU U NORTH|BENGALURU U SOUTH,near-zero,2-3 lost days,VERIFIED,https://www.deccanherald.com/india/karnataka/bengaluru/bengaluru-rains-holiday-declared-for-schools-on-wednesday-work-from-home-advisory-for-it-bt-companies-3233050
GKA maths kits grades 4-5 ongoing,2016-17 onward,all three,statewide,ALL,positive-small,activity pedagogy by the assessment provider itself,VERIFIED,https://akshara.org.in/ganitha-kalika-andolana-2-0/
No heatwave school closure 2024,checked,none,none,NONE,none,heat peak fell in vacation; do not code a heat shock,VERIFIED,https://www.daijiworld.com/news/newsDisplay?newsID=1181648
