name,district_name,total_population_person,literacy_rate_7plus,sex_ratio,sc_pct,st_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share,male_female_literacy_gap_pp,block_universe_note
Davanagere,Davanagere,1945497,75.74,972,23.91,14.46,48.55,64.73,19.87,12.44,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Dharwad,Dharwad,1847023,80.0,971,8.95,6.28,51.06,69.21,13.39,15.22,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Gadag,Gadag,1064570,75.12,982,18.61,7.39,50.59,69.86,14.96,16.69,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Gulbarga,Gulbarga,2566326,64.85,971,28.31,2.88,46.51,58.09,23.52,20.12,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Hassan,Hassan,1776421,76.07,1010,20.84,1.99,53.94,62.83,17.58,10.72,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Haveri,Haveri,1597668,77.4,950,15.08,10.18,48.11,66.14,18.32,12.83,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Kodagu,Kodagu,554519,82.61,1019,13.6,11.73,51.79,12.63,7.12,4.59,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Kolar,Kolar,1536401,74.39,979,31.06,6.68,51.17,53.78,20.66,14.17,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Koppal,Koppal,1389920,68.09,986,19.27,13.12,48.92,56.58,23.5,17.31,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Mandya,Mandya,1805769,70.4,995,14.79,1.19,49.96,64.35,18.67,12.61,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Mysore,Mysore,3001127,72.79,985,21.01,14.2,47.2,57.32,20.45,12.25,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Raichur,Raichur,1928812,59.56,1000,21.81,22.87,50.14,65.39,20.76,21.02,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Ramanagara,Ramanagara,1082636,69.22,976,20.01,2.38,51.93,61.31,14.19,14.54,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Shimoga,Shimoga,1752753,80.45,998,19.96,4.43,49.1,63.3,18.83,8.87,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Tumkur,Tumkur,2678980,75.14,984,20.57,8.61,53.75,59.16,21.69,13.03,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Udupi,Udupi,1177361,86.24,1094,6.59,4.62,44.18,22.92,10.91,0.45,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Uttara Kannada,Uttara Kannada,1437169,84.06,979,7.59,2.67,44.78,35.31,19.81,8.87,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Yadgir,Yadgir,1174271,51.83,989,25.14,13.39,48.9,64.26,20.83,23.25,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
